Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
79511,1.144743728,-0.613542372,0.939190418,-0.820222986,-1.275376431,-0.202586954,-0.909458542,0.373820719,1.902150246,-0.885934046,1.259942742,0.324294263,-2.54605927,0.558998861,1.068244226,-0.486863724,0.091772306,0.458017499,0.426529477,-0.304532271,0.053150729,0.284896278,0.034908898,0.183388751,0.290120895,-0.679013586,0.091119502,0.018687334,1,0
85360,0.257440611,-2.174631375,-1.157379428,-1.548366419,-1.045876992,-1.293670281,0.983823343,-0.510095411,1.81585066,-1.81076207,-0.622664455,0.690871262,-0.348484754,0.52425651,1.202669896,-1.331040797,0.205594652,0.046919562,1.317743349,1.046155954,0.31330461,-0.119101207,-0.771238829,0.113478729,0.837535764,-0.697607132,-0.065605388,0.106541278,584.16,0
33659,-0.676603523,0.943475914,-0.122735486,-1.6348501,2.760371212,3.171693046,0.469276765,0.754569581,-0.675637512,-0.437898252,-0.189509088,-0.208610386,-0.180038028,0.373576634,0.559124692,0.616430763,-1.050356173,-0.319181782,0.040005218,-0.024035786,-0.42548012,-1.62294178,0.031944963,0.943769923,-0.228874157,-0.282937085,-0.237204509,0.104997389,2.05,0
147698,-0.266315741,1.076591757,-0.61762633,-0.559041076,0.463224759,-0.519587165,0.468677984,0.448170246,-0.29845391,-0.318581515,0.491960287,0.220901954,-1.075574815,1.140972547,-0.077846038,-0.115092554,-0.453081039,0.761523268,0.260859899,-0.171989588,0.451324198,1.32831553,-0.037807402,0.713719158,-0.833070599,-0.264226845,0.373275437,0.254370718,0.99,0
48618,1.323179018,-0.745169676,0.223236214,-0.681603984,-0.968966521,-0.463300771,-0.630335614,0.02538482,-0.654441915,0.741796189,0.716985375,-0.568908404,-1.30517912,0.142538105,-0.603949212,1.09135631,0.252284797,-0.914765912,1.23011496,0.052127692,0.043246294,-0.021644779,-0.092262172,0.000933217,0.495848287,-0.24989157,-0.012842699,0.002272017,41.95,0
69920,-1.506084066,1.500139385,1.708759958,0.931130997,-1.252418918,0.227033953,-0.813611183,1.261478511,-0.084595049,-0.282330819,0.475540342,0.908970743,-0.373895023,0.396496973,-0.356823082,0.128615342,0.130125222,0.796796426,0.869984917,0.044907048,0.069891055,0.275327735,-0.091434048,0.325263564,0.059692646,-0.318326425,0.264966806,0.112160544,2.95,0
154260,-4.448334172,0.192701589,0.33781052,-0.329258988,-0.637152932,0.282121704,0.338526012,0.116031996,1.716746206,1.025790317,-1.161175255,-0.252521793,-0.090304621,-0.655904897,1.266408784,0.344152114,-0.620917241,0.282841439,0.502638101,-0.772161235,-0.499132632,-0.191302107,-0.369494043,0.504376795,0.476367166,-0.489046335,-1.595071964,-0.356218354,94.8,0
145600,2.383540242,-1.254719906,-1.295591693,-1.709244857,-0.79581892,-0.493794696,-0.954757259,-0.292639731,-1.283401254,1.562834432,-1.793179411,-0.700579386,1.367993537,-0.60858585,-0.23563319,-0.367895799,0.103636148,0.083695486,0.254673901,-0.373640577,-0.230969696,-0.077088782,0.096171657,-0.998944582,-0.000789514,-0.100549185,0.013708429,-0.06101793,10,0
68304,-1.766173068,-0.684528423,1.751738299,-0.595346636,1.016007233,0.213042897,0.06193263,0.226837244,0.228593466,-0.877384204,-0.329475435,1.099126259,0.823933263,-0.72146943,-2.033111508,0.142900707,-0.648228636,0.205476541,0.789799077,0.064186212,-0.100183901,-0.096216919,-0.056161292,-0.744031127,0.749248702,0.707171266,-0.139847172,0.13690847,63.66,0
36809,-1.638009565,-1.010762439,2.676092451,1.431509642,0.650567638,0.867783718,-0.327011132,0.435547402,-0.206618009,-0.107534239,1.439132774,0.641391919,-0.178981149,-0.148493955,0.896504258,-0.67930017,0.225818103,0.176359453,0.252019887,0.730965299,0.421383954,0.964275633,0.223795302,-0.275098013,0.194351607,-0.052621188,-0.094163587,-0.112992419,155,0
129169,2.126916163,0.243129035,-2.121630162,0.27247186,0.771381336,-0.822942008,0.289367521,-0.34852482,0.539899347,-0.501398886,-1.099319262,0.165541554,0.980274135,-0.946446437,0.933252374,0.411613118,0.025827996,0.653580664,-0.114078287,-0.131571281,0.140502206,0.639039506,-0.15108951,-1.105002698,0.406123632,-0.035790703,0.005100764,-0.040946773,1.34,0
82365,-1.208399756,0.704167376,2.295447762,1.117124846,-1.225779916,0.44731892,0.147422176,0.661116725,-0.326355823,-0.923884586,-0.366677713,0.323660242,0.105096176,0.072042687,1.04537284,-0.349802225,0.452718317,-0.134773615,0.009798958,0.198180681,0.221249694,0.428409254,0.157332035,0.384672616,0.181121617,-0.258753515,-0.027186253,0.040224591,141.8,0
138383,2.188316244,-0.846597697,-2.023540344,-1.29962535,0.184668843,-0.362854907,-0.22769961,-0.194554041,-0.79453574,1.017953339,-0.078051925,-0.533109717,-0.17511519,0.385197162,-0.260315595,1.417386212,-0.461554406,-0.853376619,1.391970884,0.069619758,0.039526677,-0.082801356,0.004655632,-1.457469481,0.03952147,-0.246853215,-0.06223494,-0.079855527,59,0
50376,0.850758035,-1.949274788,-0.769675537,-1.438132453,0.624791297,3.866490632,-1.340928383,0.929020406,-0.270368512,0.431283136,-0.322373913,-0.600499565,0.29469471,-0.517237362,0.577385923,1.545960269,-0.182059971,-0.527791115,0.738608283,0.793579455,0.431154016,0.509240822,-0.395952954,1.072080872,0.511200947,-0.062348917,-0.002374182,0.069588877,301,0
129754,-0.996459458,1.155864823,-1.473671678,-0.56076818,1.78108036,0.397654395,0.965061877,0.424326595,-0.361252808,-0.306133761,-0.38902739,0.996321303,0.973942571,0.624533073,0.278382157,-1.957849961,0.849639704,-1.851146401,-0.672609145,-0.07252886,0.337834534,1.416488148,0.169581475,-0.272173647,-0.377014029,-0.085866685,0.357669163,0.332534564,10.85,0
29049,0.936652753,-0.384193861,1.269252814,1.694733542,-0.839077303,0.81214218,-0.609675023,0.437490967,1.053055431,-0.253149098,0.683083881,1.456974623,-0.91098621,-0.417949572,-2.355115294,-0.978657726,0.629202643,-0.850418487,0.376911371,-0.14838957,-0.329784009,-0.636513245,0.064627396,0.219350875,0.334384668,-0.542712863,0.075917,0.027205488,54.9,0
11018,-0.954561711,-0.429265151,1.793577787,-0.574656557,-0.092472932,-1.067815292,-0.885287384,0.006547761,0.060241532,0.622114262,2.402729674,-2.84964812,1.282512375,1.41060142,-0.3586958,1.014341085,1.000370856,-0.326745182,1.301309951,0.157402363,0.074929192,0.463236323,-0.09230349,0.503687549,-0.639507178,-0.343360849,0.350424831,0.192941802,15.95,0
25529,-3.704029302,-3.734830222,2.145072892,0.554846419,-0.501546667,1.600287886,1.616397279,-0.09999621,0.899931792,-0.835007727,1.108252015,0.858922656,-0.223898686,-1.199021946,-1.245340835,-0.345368004,-0.045726689,-0.59828362,-0.52500914,0.087920046,-0.142229917,0.520145724,1.673131279,-0.245254232,0.586753374,0.462190841,-0.063638157,-0.424648466,647.58,0
137324,-4.905217063,-2.428251318,-1.067884509,-1.676466577,-2.642969989,-0.769238154,-0.257432375,1.392828939,-0.59627697,-1.621238353,-2.100055503,-0.525031251,-1.619065801,1.306107987,-0.154597853,-0.691473647,0.703636348,0.957920367,-0.731966177,-0.974055283,-0.636743323,-2.368820972,-0.954508489,-0.062655209,-0.107872795,0.159116364,-0.67955648,-0.712101423,262.38,0
64690,-1.521745642,0.739463912,0.748652804,-1.341996876,-0.330377193,-0.845884664,-0.108180283,0.622211028,0.277372679,-0.037068831,0.675369832,0.196032454,-0.994094357,0.461247191,-0.019210141,1.100539892,-0.867782814,0.366326316,-0.360197378,-0.05403625,-0.17033629,-0.307930565,0.310012117,0.006745597,-0.065863238,0.759825695,0.347984601,0.0468301,2.31,0
5247,1.427390211,-1.245373014,1.287511525,-1.183209156,-1.945090735,-0.126837178,-1.754773388,-0.065823508,0.011284363,0.989162001,0.020199402,-3.314897161,2.9394647,0.532864748,0.409397073,0.295003543,0.729737243,1.086650228,-0.690986198,-0.222561709,-0.08080926,0.391489398,-0.089544976,-0.159590003,0.250663888,-0.054157799,0.052638791,0.034235646,49.99,0
125876,-0.206550819,1.155965573,-1.730014113,0.099754775,0.546147769,-1.764991977,0.941321197,-3.429935742,-0.846973509,-0.790070187,-0.276611831,0.82756693,-0.024780502,1.230390566,-0.748041552,-1.331028334,0.281757134,-0.615170035,-0.217242067,0.360474332,-0.663081105,2.408255752,0.043318358,1.030920766,-1.347920938,-0.237217292,0.378721288,0.346351229,120.06,0
167648,1.750077938,-0.437804863,-1.960953868,0.319988755,0.436376377,-0.819632466,0.735291339,-0.449865344,0.427348199,-0.242149839,-0.621825249,0.972014748,1.141872544,0.380575545,0.38053218,-0.637849884,-0.392263254,-0.419773175,-0.030695728,0.192792776,0.217576815,0.448607283,-0.126934288,0.655108666,0.369374973,-0.564485935,-0.035590839,-0.02063472,179.7,0
150399,1.586027626,-0.135715281,-0.523816183,4.026880134,0.259202114,0.83938032,0.042331988,0.041190687,-0.432560152,1.170454094,-1.602034333,0.510954771,0.996567419,-0.519029989,-1.9512655,0.351613988,-0.457995402,-0.584761085,-1.335620511,0.103164184,0.186003855,0.478104917,-0.049559956,0.646527084,0.101140709,0.090514302,-0.028556374,-0.011153989,164.14,0
122039,1.508561929,-0.705198378,-2.048062007,0.754456811,-0.10323581,-1.389603328,0.648650652,-0.463005507,0.57161908,-0.60309827,-0.411466748,0.020237032,-0.007578992,-0.654421133,0.945480309,0.261264855,0.386479026,0.586413278,-0.500344657,0.374211028,0.364227519,0.573667528,-0.279548155,-0.075089114,0.154157568,-0.129951019,-0.056955731,0.017961536,289.71,0
92556,-5.086019047,3.52132246,-0.760613517,-3.137602342,-1.487631915,-0.339590229,-0.654286376,0.248914469,4.7301439,5.469749744,-0.218711954,-3.925706091,0.483970779,-0.514946964,-0.936249664,0.990011398,0.435356373,-0.703538848,-0.89334442,1.968369131,-0.135833701,0.83845382,-0.030884049,0.541699912,0.54142073,-0.257397691,0.311117731,0.457780249,9.56,0
